code,language,sub_language,total,total_male,total_female,rural,rural_male,rural_female,urban,urban_male,urban_female
102999,Rabha,Others,1,0,1,1,0,1,0,0,0
103003,Rai,Rai,10427,5339,5088,9660,4927,4733,767,412,355
103999,Rai,Others,5217,2730,2487,5047,2640,2407,170,90,80
104001,Rengma,Rengma,65328,32444,32884,54967,27343,27624,10361,5101,5260
105004,Sangtam,Sangtam,75684,38510,37174,55089,28061,27028,20595,10449,10146
105999,Sangtam,Others,316,154,162,76,38,38,240,116,124
106004,Savara,Savara,409481,200336,209145,402607,196813,205794,6874,3523,3351
106999,Savara,Others,68,30,38,62,26,36,6,4,2
107002,Sema,Sema,10802,5498,5304,4696,2438,2258,6106,3060,3046
108001,Sherpa,Sherpa,16012,8344,7668,13847,7210,6637,2165,1134,1031
109005,Shina,Shina,32069,16793,15276,30545,15929,14616,1524,864,660
109999,Shina,Others,178,96,82,153,81,72,25,15,10
111001,Tamang,Tamang,20154,10585,9569,16729,8807,7922,3425,1778,1647
112008,Tangkhul,Tangkhul,187263,94565,92698,154280,78258,76022,32983,16307,16676
112999,Tangkhul,Others,13,7,6,7,4,3,6,3,3
113024,Tangsa,Tutcha Tangsa,10234,5304,4930,9396,4887,4509,838,417,421
113999,Tangsa,Others,28390,14192,14198,25504,12775,12729,2886,1417,1469
114015,Thado,Thado,227114,113578,113536,210285,105317,104968,16829,8261,8568
114999,Thado,Others,2226,1174,1052,1695,891,804,531,283,248
115008,Tibetan,Tibetan,83779,49081,34698,48656,28901,19755,35123,20180,14943
115011,Tibetan,Purkhi,93500,47918,45582,82112,42014,40098,11388,5904,5484
115999,Tibetan,Others,5406,2796,2610,4121,2143,1978,1285,653,632
116007,Tripuri,Kokbarak,917900,463044,454856,881728,444840,436888,36172,18204,17968
116011,Tripuri,Reang,58539,29750,28789,57227,29127,28100,1312,623,689
116014,Tripuri,Tripuri,33138,17010,16128,31958,16241,15717,1180,769,411
116999,Tripuri,Others,1717,911,806,1614,849,765,103,62,41
117009,Tulu,Tulu,1841963,899059,942904,1081821,525977,555844,760142,373082,387060
117999,Tulu,Others,4464,2301,2163,2666,1352,1314,1798,949,849
118002,Vaiphei,Vaiphei,42748,21343,21405,38528,19291,19237,4220,2052,2168
119001,Wancho,Wancho,59154,29786,29368,53413,26792,26621,5741,2994,2747
120001,Yimchungre,Chirr,12300,6335,5965,11885,6107,5778,415,228,187
